before	after
PHN11_Oh43_0075	PHN11_OH43_0075
W10004_0248	W10004_0248
AS6103	AS6103
PHN11_LH145_0029	PHN11_LH145_0029
W10005_0107	W10005_0107
W10005_0032	W10005_0032
W10004_0082	W10004_0082
PHN11_LH145_0028	PHN11_LH145_0028
W10005_0029	W10005_0029
W10004_0076	W10004_0076
W10001_0018	W10001_0018
PHW53	PHW53
NyH-091	NYH-091
W10006_0004	W10006_0004
Mo44_PHW65_0175	MO44_PHW65_0175
Mo44_LH145_0081	MO44_LH145_0081
Mo44_LH145_0011	MO44_LH145_0011
MoG_Oh43_0057	MOG_OH43_0057
W10006_0007	W10006_0007
W10005_0346	W10005_0346
CI540	CI540
OhW-002	OHW-002
PHHV4	PHHV4
W10005_0111	W10005_0111
W10005_0037	W10005_0037
W10008_0017	W10008_0017
NyH-073	NYH-073
W10008_0001	W10008_0001
W10004_0097	W10004_0097
PHN11_LH145_0036	PHN11_LH145_0036
PHAW6	PHAW6
W10008_0009	W10008_0009
PHBW8	PHBW8
DKFBHJ	DKFBHJ
L289	L289
Ny821	NY821
W10004_0204	W10004_0204
DKPB80	DKPB80
PHEG9	PHEG9
554353-1-1-B	BSSSC0_044
NKS8326	NKS8326
PHK56	PHK56
PHN11_LH145_0080	PHN11_LH145_0080
OhW-190	OHW-190
W10006_0009	W10006_0009
B73	B73
W10008_0063	W10008_0063
W10008_0065	W10008_0065
MoG_Oh43_0071	MOG_OH43_0071
Mo44_PHW65_0075	MO44_PHW65_0075
W10008_0059	W10008_0059
W10008_0053	W10008_0053
W10006_0011	W10006_0011
W10008_0069	W10008_0069
W10006_0003	W10006_0003
DKHBA1	DKHBA1
PHN11_Oh43_0088	PHN11_OH43_0088
OhW-099	OHW-099
OhW-119	OHW-119
PHN11_Oh43_0045	PHN11_OH43_0045
W10004_0127	W10004_0127
OhW-038	OHW-038
Mo17	MO17
OhW-007	OHW-007
NyH-092	NYH-092
W10005_0303	W10005_0303
NyH-167	NYH-167
W10001_0019	W10001_0019
W10001_0021	W10001_0021
W10002_0001	W10002_0001
W10001_0022	W10001_0022
W10008_0119	W10008_0119
NyH-158	NYH-158
NyH-128	NYH-128
PHTM9	PHTM9
OhW-178	OHW-178
OhW-016	OHW-016
OhW-003	OHW-003
DK78010	DK78010
MoG_LH145_0006	MOG_LH145_0006
MoG_PHG83-014-1-1-1-1-B	MOG_PHG83-014-1-1-1-1-B
NyH-081	NYH-081
NyH-144	NYH-144
OhW-101	OHW-101
NyH-136	NYH-136
NyH-161	NYH-161
MoG_PHG83-069-1-1-1-1-B	MOG_PHG83-069-1-1-1-1-B
MoG_PHG83-211-1-1-1-1-B	MOG_PHG83-211-1-1-1-1-B
MoG_PHG83-129-1-1-1-1-B	MOG_PHG83-129-1-1-1-1-B
W10001_0008	W10001_0008
554303-1-1-B	554303-1-1-B
OhW-146	OHW-146
554312-1-1-B	554312-1-1-B
OhW-114	OHW-114
554360-1-1-B	554360-1-1-B
554363-1-1-B	554363-1-1-B
554372-1-1-B	554372-1-1-B
511868-1-1-B	511868-1-1-B
554348-1-1-B	554348-1-1-B
Mo44_PHW65_0178	MO44_PHW65_0178
554371-1-1-B	554371-1-1-B
511811-1-1-B	511811-1-1-B
511815-1-1-B	511815-1-1-B
511872-1-1-B	511872-1-1-B
511865-1-1-B	511865-1-1-B
MoG_PHG83-119-1-1-1-1-B	MOG_PHG83-119-1-1-1-1-B
511842-1-1-B	511842-1-1-B
3IIH6	3IIH6
MoG_LH145_0038	MOG_LH145_0038
B73_NC230-127-1-1-1-1	B73_NC230-127-1-1-1-1
PHN11_PHW65_0237	PHN11_PHW65_0237
Mo44_LH145_0107	MO44_LH145_0107
NyH-195	NYH-195
Mo44_PHW65_0124	MO44_PHW65_0124
511880-1-1-B	511880-1-1-B
Mo44_PHG47_0082	MO44_PHG47_0082
OhW-004	OHW-004
PHN11_Oh43_0007	PHN11_OH43_0007
554342-1-1-B	554342-1-1-B
PHN11_Oh43_0036	PHN11_OH43_0036
PHN11_Oh43_0001	PHN11_OH43_0001
Mo44_LH145_0047	MO44_LH145_0047
511837-1-1-B	511837-1-1-B
511884-1-1-B	511884-1-1-B
W10006_0014	W10006_0014
W10008_0042	W10008_0042
MoG_LH145_0003	MOG_LH145_0003
W10006_0012	W10006_0012
511828-1-1-B	511828-1-1-B
511875-1-1-B	511875-1-1-B
Mo44_PHW65_0126	MO44_PHW65_0126
PHN11_PHW65_0101	PHN11_PHW65_0101
554315-1-1-B	554315-1-1-B
CI187-2	CI187-2
PHN11_PHW65_0275	PHN11_PHW65_0275
