Year_Exp	Date.Planted	Date.Harvested
2014_DEH1	5/5/2014	9/29/2014
2014_GAH1	4/4/2014	9/11/2014
2014_IAH1	5/9/2014	10/20/2014
2014_IAH2	5/16/2014	10/26/2014
2014_IAH3	5/20/2014	11/1/2014
2014_IAH4	5/19/2014	10/28/2014
2014_ILH1	5/6/2014	10/7/2014
2014_INH1	5/25/2014	11/18/2014
2014_MNH1	5/16/2014	10/16/2014
2014_MOH1	5/7/2014	10/22/2014
2014_MOH2	5/5/2014	11/13/2014
2014_NCH1	4/28/2014	10/8/2014
2014_NEH1	5/16/2014	10/22/2014
2014_NEH2	5/15/2014	11/5/2014
2014_NEH3	5/14/2014	11/14/2014
2014_NYH1	5/29/2014	12/8/2014
2014_NYH2	5/28/2014	12/2/2014
2014_ONH1	5/19/2014	11/4/2014
2014_ONH2	5/27/2014	11/29/2014
2014_TXH1	3/1/2014	8/21/2014
2014_TXH2	4/23/2014	9/30/2014
2014_WIH1	5/9/2014	10/28/2014
2015_DEH1	4/29/2015	9/14/2015
2015_GAH1	4/1/2015	8/26/2015
2015_ILH1	4/30/2015	10/2/2015
2015_INH1	5/14/2015	10/15/2015
2015_KSH1	4/23/2015	9/21/2015
2015_MNH1	5/19/2015	11/10/2015
2015_MOH1	5/4/2015	10/6/2015
2015_MOH2	5/5/2015	10/2/2015
2015_NCH1	4/28/2015	9/16/2015
2015_NEH1	6/9/2015	11/18/2015
2015_NEH2	4/23/2015	10/26/2015
2015_NEH3	6/10/2015	12/14/2015
2015_NEH4	6/9/2015	11/18/2015
2015_NYH2	5/7/2015	11/16/2015
2015_NYH3	5/23/2015	11/18/2015
2015_OHH1	5/21/2015	10/17/2015
2015_ONH1	4/30/2015	10/15/2015
2015_ONH2	5/7/2015	10/12/2015
2015_SDH1	5/22/2015	10/28/2015
2015_TXH1	3/7/2015	7/28/2015
2015_TXH2	4/25/2015	9/22/2015
2015_WIH1	6/4/2015	10/26/2015
2015_WIH2	5/20/2015	10/14/2015
2016_ARH1	4/7/2016	8/30/2016
2016_ARH2	4/23/2016	11/9/2016
2016_DEH1	4/25/2016	9/14/2016
2016_GAH1	4/12/2016	8/23/2016
2016_GAH2	5/25/2016	10/12/2016
2016_IAH1	4/22/2016	10/1/2016
2016_IAH2	4/25/2016	10/11/2016
2016_IAH3	4/24/2016	10/6/2016
2016_IAH4	4/26/2016	10/17/2016
2016_ILH1	4/26/2016	10/9/2016
2016_INH1	5/19/2016	10/6/2016
2016_KSH1	4/15/2016	9/27/2016
2016_MIH1	5/24/2016	11/16/2016
2016_MNH1	5/17/2016	10/20/2016
2016_MOH1	5/23/2016	10/7/2016
2016_NCH1	4/15/2016	9/13/2016
2016_NEH1	5/6/2016	11/8/2016
2016_NEH4	6/7/2016	11/9/2016
2016_NYH1	5/19/2016	11/14/2016
2016_NYH3	5/11/2016	12/8/2016
2016_NYH2	5/10/2016	12/8/2016
2016_OHH1	5/27/2016	10/15/2016
2016_ONH1	5/4/2016	10/15/2016
2016_ONH2	5/11/2016	11/1/2016
2016_SCH1	5/13/2016	9/13/2016
2016_TXH1	3/4/2016	8/5/2016
2016_TXH2	4/28/2016	9/23/2016
2016_WIH1	5/9/2016	10/14/2016
2016_WIH2	5/24/2016	10/25/2016
2017_ARH1	4/17/2017	9/11/2017
2017_ARH2	4/25/2017	9/16/2017
2017_COH1	5/31/2017	11/22/2017
2017_DEH1	4/28/2017	9/8/2017
2017_GAH1	4/4/2017	9/7/2017
2017_GAH2	5/2/2017	9/8/2017
2017_IAH1	4/25/2017	10/26/2017
2017_IAH2	5/6/2017	10/31/2017
2017_IAH3	4/25/2017	10/20/2017
2017_IAH4	5/7/2017	10/17/2017
2017_ILH1	4/26/2017	10/16/2017
2017_INH1	5/16/2017	10/19/2017
2017_MIH1	5/22/2017	10/20/2017
2017_MNH1	5/10/2017	10/27/2017
2017_MOH1	5/15/2017	10/19/2017
2017_NCH1	5/2/2017	9/20/2017
2017_NEH3	5/16/2017	11/12/2017
2017_NEH4	5/16/2017	11/13/2017
2017_NYH1	5/20/2017	11/22/2017
2017_NYH2	5/18/2017	11/24/2017
2017_NYH3	5/18/2017	11/24/2017
2017_OHH1	5/16/2017	10/20/2017
2017_ONH1	5/17/2017	10/31/2017
2017_ONH2	5/18/2017	10/27/2017
2017_TXH1	3/3/2017	8/10/2017
2017_TXH2	5/3/2017	10/9/2017
2017_WIH1	5/5/2017	10/19/2017
2017_WIH2	5/11/2017	11/6/2017
2018_ARH1	4/25/2018	9/1/2018
2018_ARH2	4/19/2018	9/23/2018
2018_DEH1	5/2/2018	9/20/2018
2018_GAH1	4/3/2018	8/30/2018
2018_GAH2	5/1/2018	9/12/2018
2018_IAH1	5/8/2018	10/18/2018
2018_IAH2	4/29/2018	10/23/2018
2018_IAH3	4/30/2018	10/15/2018
2018_IAH4	5/15/2018	10/26/2018
2018_ILH1	5/8/2018	9/24/2018
