Year_Exp	Date.Planted	Date.Harvested
2014_DEH1	5/5/14	9/29/14
2014_GAH1	4/4/14	9/11/14
2014_IAH1a	5/17/14	10/21/14
2014_IAH1b	5/17/14	10/20/14
2014_IAH1c	5/9/14	10/20/14
2014_IAH2	5/16/14	10/26/14
2014_IAH3	5/20/14	11/1/14
2014_IAH4	5/19/14	10/28/14
2014_ILH1	5/6/14	10/7/14
2014_INH1	5/25/14	11/18/14
2014_MNH1	5/16/14	10/16/14
2014_MOH1	5/7/14	10/22/14
2014_MOH2	5/5/14	11/13/14
2014_NCH1	4/28/14	10/8/14
2014_NEH1	5/16/14	10/22/14
2014_NEH2	5/15/14	11/5/14
2014_NEH3	5/14/14	11/14/14
2014_NYH1	5/29/14	12/8/14
2014_NYH2	5/28/14	12/2/14
2014_ONH1	5/19/14	11/4/14
2014_ONH2	5/27/14	11/29/14
2014_TXH1	3/1/14	8/21/14
2014_TXH2	4/23/14	9/30/14
2014_WIH1	5/9/14	10/28/14
2015_DEH1	4/29/15	9/14/15
2015_GAH1	4/1/15	8/26/15
2015_ILH1	4/30/15	10/2/15
2015_INH1	5/14/15	10/15/15
2015_KSH1	4/23/15	9/21/15
2015_MNH1	5/19/15	11/10/15
2015_MOH1	5/4/15	10/6/15
2015_MOH2	5/5/15	10/2/15
2015_NCH1	4/28/15	9/16/15
2015_NEH1	6/9/15	11/18/15
2015_NEH2	4/23/15	10/26/15
2015_NEH3	6/10/15	12/14/15
2015_NEH4	6/9/15	11/18/15
2015_NYH2	5/7/15	11/16/15
2015_NYH3	5/23/15	11/18/15
2015_OHH1	5/21/15	10/17/15
2015_ONH1	4/30/15	10/15/15
2015_ONH2	5/7/15	10/12/15
2015_SDH1	5/22/15	10/28/15
2015_TXH1	3/7/15	7/28/15
2015_TXH2	4/25/15	9/22/15
2015_WIH1	6/4/15	10/26/15
2015_WIH2	5/20/15	10/14/15
2016_ARH1	4/7/16	8/30/16
2016_ARH2	4/23/16	11/9/16
2016_DEH1	4/25/16	9/14/16
2016_GAH1	4/12/16	8/23/16
2016_GAH2	5/25/16	10/12/16
2016_IAH1	4/22/16	10/1/16
2016_IAH2	4/25/16	10/11/16
2016_IAH3	4/24/16	10/6/16
2016_IAH4	4/26/16	10/17/16
2016_ILH1	4/26/16	10/9/16
2016_INH1	5/19/16	10/6/16
2016_KSH1	4/15/16	9/27/16
2016_MIH1	5/24/16	11/16/16
2016_MNH1	5/17/16	10/20/16
2016_MOH1	5/23/16	10/7/16
2016_NCH1	4/15/16	9/13/16
2016_NEH1	5/6/16	11/8/16
2016_NEH4	6/7/16	11/9/16
2016_NYH1	5/19/16	11/14/16
2016_NYH2	5/10/16	12/8/16
2016_OHH1	5/27/16	10/15/16
2016_ONH1	5/4/16	10/15/16
2016_ONH2	5/11/16	11/1/16
2016_SCH1	5/13/16	9/13/16
2016_TXH1	3/4/16	8/5/16
2016_TXH2	4/28/16	9/23/16
2016_WIH1	5/9/16	10/14/16
2016_WIH2	5/24/16	10/25/16
2017_ARH1	4/17/17	9/11/17
2017_ARH2	4/25/17	9/16/17
2017_COH1	5/31/17	11/22/17
2017_DEH1	4/28/17	9/8/17
2017_GAH1	4/4/17	9/7/17
2017_GAH2	5/2/17	9/8/17
2017_IAH1	4/25/17	10/26/17
2017_IAH2	5/6/17	10/31/17
2017_IAH3	4/25/17	10/20/17
2017_IAH4	5/7/17	10/17/17
2017_ILH1	4/26/17	10/16/17
2017_INH1	5/16/17	10/19/17
2017_MIH1	5/22/17	10/20/17
2017_MNH1	5/10/17	10/27/17
2017_MOH1	5/15/17	10/19/17
2017_NCH1	5/2/17	9/20/17
2017_NEH3	5/16/17	11/12/17
2017_NEH4	5/16/17	11/13/17
2017_NYH1	5/20/17	11/22/17
2017_NYH2	5/18/17	11/24/17
2017_NYH3	5/18/17	11/24/17
2017_OHH1	5/16/17	10/20/17
2017_ONH1	5/17/17	10/31/17
2017_ONH2	5/18/17	10/27/17
2017_TXH1-Dry	3/3/17	7/25/17
2017_TXH1-Early	3/3/17	7/31/17
2017_TXH1-Late	4/6/17	8/10/17
2017_TXH2	5/3/17	10/9/17
2017_WIH1	5/5/17	10/19/17
2017_WIH2	5/11/17	11/6/17
2018_ARH1	4/25/18	9/1/18
2018_ARH2	4/19/18	9/23/18
2018_DEH1	5/2/18	9/20/18
2018_GAH1	4/3/18	8/30/18
2018_GAH2	5/1/18	9/12/18
2018_IAH1	5/8/18	10/18/18
2018_IAH2	4/29/18	10/23/18
2018_IAH3	4/30/18	10/15/18
2018_IAH4	5/15/18	10/26/18
2018_ILH1	5/8/18	9/24/18
2018_INH1	5/7/18	9/19/18
2018_KSH1	5/7/18	10/6/18
2018_MIH1	5/28/18	11/18/18
2018_MNH1	5/24/18	11/14/18
2018_MOH1	5/17/18	9/26/18
2018_NCH1	5/8/18	9/25/18
2018_NCH1	5/8/18	9/12/18
2018_NEH2	5/8/18	9/27/18
2018_NYH1	5/25/18	11/12/18
2018_NYH2	5/18/18	12/11/18
2018_NYH3	5/18/18	12/11/18
2018_OHH1	5/15/18	10/9/18
2018_ONH2	5/31/18	11/14/18
2018_SCH1	4/20/18	9/15/18
2018_TXH1-Dry	3/8/18	7/28/18
2018_TXH1-Early	3/8/18	8/4/18
2018_TXH1-Late	4/3/18	8/16/18
2018_TXH2	5/8/18	9/25/18
2018_WIH1	5/8/18	10/19/18
2018_WIH2	5/19/18	10/19/18
